,season,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,birth_date,height,weight,college,player_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number,age
241,2024,HOU,LS,LS,46.0,ACT,Jon Weeks,Jonathan,Weeks,1986-02-17,70.0,242,Baylor,00-0027224,,,,,,,,,14,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d9fvm74pu4vyinveopbf",,13,REG,A01,Jonathan,WEE504348,35731,32005745-4550-4348-e7fc-6621be523408,2010,2010.0,,,38.787
242,2024,HOU,LS,LS,46.0,ACT,Jon Weeks,Jonathan,Weeks,1986-02-17,70.0,242,Baylor,00-0027224,,,,,,,,,14,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d9fvm74pu4vyinveopbf",,12,REG,A01,Jonathan,WEE504348,35731,32005745-4550-4348-e7fc-6621be523408,2010,2010.0,,,38.768
243,2024,HOU,LS,LS,46.0,ACT,Jon Weeks,Jonathan,Weeks,1986-02-17,70.0,242,Baylor,00-0027224,,,,,,,,,14,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d9fvm74pu4vyinveopbf",,3,REG,A01,Jonathan,WEE504348,35731,32005745-4550-4348-e7fc-6621be523408,2010,2010.0,,,38.595
244,2024,HOU,LS,LS,46.0,ACT,Jon Weeks,Jonathan,Weeks,1986-02-17,70.0,242,Baylor,00-0027224,,,,,,,,,14,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d9fvm74pu4vyinveopbf",,11,REG,A01,Jonathan,WEE504348,35731,32005745-4550-4348-e7fc-6621be523408,2010,2010.0,,,38.752
245,2024,HOU,LS,LS,46.0,ACT,Jon Weeks,Jonathan,Weeks,1986-02-17,70.0,242,Baylor,00-0027224,,,,,,,,,14,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d9fvm74pu4vyinveopbf",,18,REG,A01,Jonathan,WEE504348,35731,32005745-4550-4348-e7fc-6621be523408,2010,2010.0,,,38.883
246,2024,HOU,LS,LS,46.0,ACT,Jon Weeks,Jonathan,Weeks,1986-02-17,70.0,242,Baylor,00-0027224,,,,,,,,,14,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d9fvm74pu4vyinveopbf",,19,WC,A01,Jonathan,WEE504348,35731,32005745-4550-4348-e7fc-6621be523408,2010,2010.0,,,38.899
247,2024,HOU,LS,LS,46.0,ACT,Jon Weeks,Jonathan,Weeks,1986-02-17,70.0,242,Baylor,00-0027224,,,,,,,,,14,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d9fvm74pu4vyinveopbf",,10,REG,A01,Jonathan,WEE504348,35731,32005745-4550-4348-e7fc-6621be523408,2010,2010.0,,,38.73
248,2024,HOU,LS,LS,46.0,ACT,Jon Weeks,Jonathan,Weeks,1986-02-17,70.0,242,Baylor,00-0027224,,,,,,,,,14,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d9fvm74pu4vyinveopbf",,17,REG,A01,Jonathan,WEE504348,35731,32005745-4550-4348-e7fc-6621be523408,2010,2010.0,,,38.853
249,2024,HOU,LS,LS,46.0,ACT,Jon Weeks,Jonathan,Weeks,1986-02-17,70.0,242,Baylor,00-0027224,,,,,,,,,14,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d9fvm74pu4vyinveopbf",,15,REG,A01,Jonathan,WEE504348,35731,32005745-4550-4348-e7fc-6621be523408,2010,2010.0,,,38.825
250,2024,HOU,LS,LS,46.0,ACT,Jon Weeks,Jonathan,Weeks,1986-02-17,70.0,242,Baylor,00-0027224,,,,,,,,,14,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d9fvm74pu4vyinveopbf",,16,REG,A01,Jonathan,WEE504348,35731,32005745-4550-4348-e7fc-6621be523408,2010,2010.0,,,38.842
